"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgR021_g056",,,"false","PgR021_g056"
,,,,"PgR011_g137",,,"false","PgR011_g137"
,,,,"PgR031_g064",,,"false","PgR031_g064"
,,,,"PgR008_g201",,,"false","PgR008_g201"
,,,,"PgR022X_g052",,,"false","PgR022X_g052"
,,,,"PgR044_g045",,,"false","PgR044_g045"
,,,,"PgR022X_g055",,,"false","PgR022X_g055"
,,,,"PgR040_g022",,,"false","PgR040_g022"
,,,,"PgR063X_g054",,,"false","PgR063X_g054"
,,,,"PgB04_g041",,,"false","PgB04_g041"
,,,,"PgB06_g014",,,"false","PgB06_g014"
,,,,"PgR049_g010",,,"false","PgR049_g010"
,,,,"PgR022X_g026",,,"false","PgR022X_g026"
,,,,"PgR001X_g063",,,"false","PgR001X_g063"
,,,,"PgR006_g134",,,"false","PgR006_g134"
,,,,"PgR022X_g042",,,"false","PgR022X_g042"
,,,,"PgR015_g056",,,"false","PgR015_g056"
,,,,"PgR029_g071",,,"false","PgR029_g071"
,,,,"PgB05_g136",,,"false","PgB05_g136"
,,,,"PgR052_g058",,,"false","PgR052_g058"
,,,,"PgR002_g043",,,"false","PgR002_g043"
,,,,"PgB21_g040",,,"false","PgB21_g040"
,,,,"PgR030_g033",,,"false","PgR030_g033"
,,,,"PgB04_g142",,,"false","PgB04_g142"
,,,,"PgR104_g015",,,"false","PgR104_g015"
,,,,"PgR162X_g007",,,"false","PgR162X_g007"
,,,,"PgR056X_g003",,,"false","PgR056X_g003"
,,,,"PgR007_g040",,,"false","PgR007_g040"
,,,,"PgR029_g016",,,"false","PgR029_g016"
,,,,"PgR102_g016",,,"false","PgR102_g016"
,,,,"PgR013_g115",,,"false","PgR013_g115"
,,,,"PgR005X_g134",,,"false","PgR005X_g134"
,,,,"PgR002_g037",,,"false","PgR002_g037"
