"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgR025_g041",,,"true","PgR025_g041"
,,,,"PgR142_g014",,,"true","PgR142_g014"
,,,,"PgR027_g007",,,"true","PgR027_g007"
,,,,"PgR033_g021",,,"true","PgR033_g021"
,,,,"PgR037_g029",,,"true","PgR037_g029"
,,,,"PgR003_g023",,,"true","PgR003_g023"
,,,,"PgR002_g124",,,"true","PgR002_g124"
,,,,"PgR038X_g092",,,"true","PgR038X_g092"
,,,,"PgB10_g067",,,"true","PgB10_g067"
,,,,"PgR184_g002",,,"true","PgR184_g002"
,,,,"PgR012_g013",,,"true","PgR012_g013"
,,,,"PgR049_g009",,,"true","PgR049_g009"
,,,,"PgR074X_g018",,,"true","PgR074X_g018"
,,,,"PgR123_g005",,,"true","PgR123_g005"
,,,,"PgR006_g029",,,"true","PgR006_g029"
,,,,"PgR040_g047",,,"true","PgR040_g047"
,,,,"PgB04_g011",,,"true","PgB04_g011"
,,,,"PgR296_g002",,,"true","PgR296_g002"
,,,,"PgR107_g004",,,"true","PgR107_g004"
,,,,"PgB04_g092",,,"true","PgB04_g092"
,,,,"PgR049_g074",,,"true","PgR049_g074"
,,,,"PgB17_g024",,,"true","PgB17_g024"
,,,,"PgR056X_g001",,,"true","PgR056X_g001"
,,,,"PgR008_g156",,,"true","PgR008_g156"
,,,,"PgR024_g012",,,"true","PgR024_g012"
,,,,"PgR024_g010",,,"true","PgR024_g010"
,,,,"PgE673_g001",,,"true","PgE673_g001"
,,,,"PgR018_g047",,,"true","PgR018_g047"
,,,,"PgR106_g026",,,"true","PgR106_g026"
,,,,"PgR008_g085",,,"true","PgR008_g085"
