"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgB10_g094",,,"true","PgB10_g094"
,,,,"PgR045_g016",,,"true","PgR045_g016"
,,,,"PgR015_g036",,,"true","PgR015_g036"
,,,,"PgB05_g093",,,"true","PgB05_g093"
,,,,"PgR020_g116",,,"true","PgR020_g116"
,,,,"PgR118_g008",,,"true","PgR118_g008"
,,,,"PgR015_g048",,,"true","PgR015_g048"
,,,,"PgB02X_g058",,,"true","PgB02X_g058"
,,,,"PgR013_g134",,,"true","PgR013_g134"
,,,,"PgR085_g047",,,"true","PgR085_g047"
,,,,"PgB03_g020",,,"true","PgB03_g020"
,,,,"PgB01_g200",,,"true","PgB01_g200"
,,,,"PgR009X_g041",,,"true","PgR009X_g041"
,,,,"PgR085_g043",,,"true","PgR085_g043"
,,,,"PgR009X_g086",,,"true","PgR009X_g086"
,,,,"PgR005X_g049",,,"true","PgR005X_g049"
,,,,"PgR024_g021",,,"true","PgR024_g021"
,,,,"PgR004_g225",,,"true","PgR004_g225"
,,,,"PgR009X_g180",,,"true","PgR009X_g180"
,,,,"PgB20_g007",,,"true","PgB20_g007"
,,,,"PgR003_g203",,,"true","PgR003_g203"
,,,,"PgR186_g007",,,"true","PgR186_g007"
,,,,"PgB19_g008",,,"true","PgB19_g008"
,,,,"PgR049_g044",,,"true","PgR049_g044"
,,,,"PgR186_g008",,,"true","PgR186_g008"
,,,,"PgR033_g087",,,"true","PgR033_g087"
,,,,"PgR104_g045",,,"true","PgR104_g045"
,,,,"PgR085_g036",,,"true","PgR085_g036"
,,,,"PgR085_g040",,,"true","PgR085_g040"
,,,,"PgR085_g041",,,"true","PgR085_g041"
,,,,"PgR063X_g059",,,"true","PgR063X_g059"
,,,,"PgR008_g134",,,"true","PgR008_g134"
,,,,"PgR085_g033",,,"true","PgR085_g033"
,,,,"PgB43_g001",,,"true","PgB43_g001"
,,,,"PgR121_g016",,,"true","PgR121_g016"
,,,,"PgR040_g014",,,"true","PgR040_g014"
,,,,"PgR020_g131",,,"true","PgR020_g131"
,,,,"PgR032X_g008",,,"true","PgR032X_g008"
,,,,"PgR020_g117",,,"true","PgR020_g117"
,,,,"PgR008_g096",,,"true","PgR008_g096"
,,,,"PgR020_g118",,,"true","PgR020_g118"
,,,,"PgR006_g119",,,"true","PgR006_g119"
,,,,"PgR095X_g023",,,"true","PgR095X_g023"
,,,,"PgR079_g029",,,"true","PgR079_g029"
,,,,"PgR049_g001",,,"false","PgR049_g001"
,,,,"PgR003_g094",,,"true","PgR003_g094"
,,,,"PgR033_g050",,,"true","PgR033_g050"
,,,,"PgR021_g019",,,"true","PgR021_g019"
,,,,"PgR026_g103",,,"true","PgR026_g103"
,,,,"PgR011_g074",,,"true","PgR011_g074"
,,,,"PgR027_g020",,,"true","PgR027_g020"
,,,,"PgR079_g028",,,"true","PgR079_g028"
