source,term_id,driver_term,term_name,term_size,effective_domain_size,p_value,intersection_size,intersection
GO:BP,GO:0006518,TRUE,peptide metabolic process,241,12032,1.0477268433249672e-37,72,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR027_g119,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0006412,FALSE,translation,227,12032,1.3141798452355335e-37,70,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0043043,FALSE,peptide biosynthetic process,231,12032,4.800727969027163e-37,70,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0043604,FALSE,amide biosynthetic process,248,12032,8.577647787704149e-35,70,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0043603,FALSE,amide metabolic process,271,12032,6.308427599167148e-34,72,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR027_g119,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:1901566,FALSE,organonitrogen compound biosynthetic process,409,12032,5.206529881644169e-27,79,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g051,PgB05_g149,PgB06_g076,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g117,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g118,PgR018_g124,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR040_g029,PgR042_g045,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR058_g054,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR216X_g002,PgR229_g002,PgR306_g002"
GO:BP,GO:0044271,FALSE,cellular nitrogen compound biosynthetic process,711,12032,2.647308461920693e-11,78,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g117,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g118,PgR018_g124,PgR019_g005,PgR021_g072,PgR023_g030,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR040_g029,PgR042_g045,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR059_g063,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR142_g009,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0010467,FALSE,gene expression,922,12032,3.6020598779984587e-11,92,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g030,PgB13_g043,PgB18_g007,PgB20_g001,PgB23_g030,PgR001X_g060,PgR001X_g185,PgR002_g150,PgR002_g254,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g189,PgR011_g195,PgR013_g026,PgR015_g005,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR018_g119,PgR018_g138,PgR019_g005,PgR019_g079,PgR021_g072,PgR023_g030,PgR027_g119,PgR027_g135,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR034_g048,PgR036_g008,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR040_g061,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g029,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR059_g063,PgR062_g016,PgR062_g057,PgR065_g056,PgR069_g046,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR123_g014,PgR137_g007,PgR137_g015,PgR142_g009,PgR169_g006,PgR229_g002,PgR306_g002"
GO:BP,GO:0044249,FALSE,cellular biosynthetic process,1177,12032,2.890577398413916e-10,106,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g051,PgB05_g149,PgB06_g076,PgB07_g034,PgB08_g065,PgB11_g065,PgB13_g030,PgB13_g043,PgB18_g007,PgB20_g001,PgB23_g030,PgR001X_g060,PgR001X_g185,PgR002_g117,PgR002_g150,PgR002_g221,PgR002_g254,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR010_g124,PgR011_g073,PgR011_g189,PgR011_g195,PgR013_g026,PgR015_g005,PgR015_g083,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g112,PgR018_g118,PgR018_g119,PgR018_g124,PgR018_g138,PgR019_g005,PgR019_g079,PgR021_g072,PgR023_g030,PgR027_g119,PgR027_g135,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR034_g048,PgR036_g008,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR040_g029,PgR040_g061,PgR042_g045,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g029,PgR051X_g040,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR058_g054,PgR059_g063,PgR062_g016,PgR062_g057,PgR065_g056,PgR069_g046,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR123_g014,PgR137_g007,PgR137_g015,PgR142_g009,PgR169_g006,PgR216X_g002,PgR229_g002,PgR306_g002"
GO:BP,GO:1901576,FALSE,organic substance biosynthetic process,1211,12032,7.438825305364144e-10,107,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g051,PgB05_g149,PgB06_g076,PgB07_g034,PgB08_g065,PgB11_g065,PgB13_g030,PgB13_g043,PgB18_g007,PgB20_g001,PgB23_g030,PgR001X_g060,PgR001X_g185,PgR002_g117,PgR002_g150,PgR002_g221,PgR002_g254,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR010_g124,PgR011_g073,PgR011_g189,PgR011_g195,PgR012_g111,PgR013_g026,PgR015_g005,PgR015_g083,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g112,PgR018_g118,PgR018_g119,PgR018_g124,PgR018_g138,PgR019_g005,PgR019_g079,PgR021_g072,PgR023_g030,PgR027_g119,PgR027_g135,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR034_g048,PgR036_g008,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR040_g029,PgR040_g061,PgR042_g045,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR049_g029,PgR051X_g040,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR058_g054,PgR059_g063,PgR062_g016,PgR062_g057,PgR065_g056,PgR069_g046,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR101_g012,PgR102_g036,PgR106_g023,PgR123_g014,PgR137_g007,PgR137_g015,PgR142_g009,PgR169_g006,PgR216X_g002,PgR229_g002,PgR306_g002"
