source,term_id,driver_term,term_name,term_size,effective_domain_size,p_value,intersection_size,intersection
GO:BP,GO:0006811,TRUE,monoatomic ion transport,258,11091,1.8992429380083599e-6,58,"PgB05_g103,PgR001X_g250,PgR002_g089,PgB05_g069,PgR003_g249,PgR004_g148,PgR007_g005,PgR009X_g188,PgB02X_g009,PgR010_g141,PgR002_g157,PgR011_g157,PgR017X_g020,PgR017X_g086,PgR017X_g092,PgR009X_g190,PgR020_g057,PgR004_g100,PgB20_g018,PgR021_g060,PgR022X_g118,PgR023_g002,PgR024_g102,PgR026_g001,PgR026_g056,PgB15_g036,PgR028_g009,PgR028_g015,PgR037_g041,PgB13_g016,PgR003_g234,PgR001X_g115,PgR001X_g130,PgR032X_g025,PgB23_g004,PgR071_g028,PgR074X_g024,PgR075_g042,PgR077_g028,PgR085_g055,PgR108X_g024,PgR124_g008,PgR125_g023,PgR151_g002,PgB04_g083,PgR198_g004,PgR004_g077,PgR335_g001,PgB14X_g001,PgR004_g167,PgR021_g040,PgB15_g054,PgR017X_g096,PgR035X_g077,PgR004_g106,PgR047_g009,PgR091_g018,PgR106_g006"
GO:BP,GO:0034220,FALSE,monoatomic ion transmembrane transport,130,11091,5.885723553857512e-4,32,"PgR001X_g250,PgB05_g069,PgR009X_g188,PgB02X_g009,PgR002_g157,PgR011_g157,PgR017X_g020,PgR017X_g092,PgR020_g057,PgB20_g018,PgR021_g060,PgR023_g002,PgR024_g102,PgR026_g001,PgR026_g056,PgB15_g036,PgR028_g009,PgR028_g015,PgR037_g041,PgB13_g016,PgR001X_g130,PgB23_g004,PgR074X_g024,PgR085_g055,PgR108X_g024,PgR125_g023,PgB04_g083,PgR198_g004,PgR004_g077,PgR035X_g077,PgR091_g018,PgR106_g006"
GO:BP,GO:0055085,FALSE,transmembrane transport,397,11091,6.476940416822186e-4,71,"PgB05_g103,PgR001X_g250,PgR002_g159,PgB05_g069,PgR003_g249,PgR003_g268,PgR007_g005,PgR009X_g188,PgB02X_g009,PgR010_g141,PgR002_g157,PgR006_g170,PgR011_g157,PgR017X_g020,PgR017X_g086,PgR017X_g092,PgR020_g057,PgR004_g100,PgB20_g018,PgR021_g060,PgR023_g002,PgR024_g102,PgR026_g001,PgR026_g056,PgB15_g036,PgR027_g021,PgR028_g009,PgR029_g080,PgR028_g015,PgR003_g127,PgR035X_g050,PgR037_g041,PgB13_g016,PgR003_g234,PgR048_g033,PgR048_g066,PgR001X_g115,PgR001X_g130,PgR063X_gPgp-12,PgR064_g023,PgR032X_g025,PgB23_g004,PgR071_g028,PgR074X_g024,PgR077_g028,PgR085_g055,PgR088_g031,PgR108X_g024,PgR124_g008,PgB03_g070,PgR125_g023,PgR165_g011,PgB04_g083,PgR198_g004,PgR004_g077,PgR335_g001,PgB14X_g001,PgB20_g008,PgR014X_g136,PgB15_g054,PgR028_g072,PgR007_g048,PgR017X_g096,PgR035X_g077,PgR004_g106,PgR052_g069,PgB25_g002,PgR062_g020,PgR091_g018,PgR106_g006,PgR030_g103"
GO:BP,GO:0098542,TRUE,defense response to other organism,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0051707,FALSE,response to other organism,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0044419,FALSE,biological process involved in interspecies interaction between organisms,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0043207,FALSE,response to external biotic stimulus,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0009607,FALSE,response to biotic stimulus,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0009605,FALSE,response to external stimulus,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
GO:BP,GO:0006952,FALSE,defense response,18,11091,7.237303463166253e-4,10,"PgR004_g225,PgE286_g001,PgR019_g012,PgR051X_g032,PgR054_g032,PgR106_g021,PgR141_g001,PgR141_g002,PgR162X_g001,PgR199X_g001"
