Gene,Degree,Eigen,Closeness,Betweenness,Strengths
PgB01_g020,10,0.010322484,1.99824E-05,306.9145306,10
PgB01_g030,2,1.69101E-09,1.67645E-05,267.9563309,2
PgB01_g036,52,1.46096E-05,2.54104E-05,28596.68122,52
PgB01_g038,36,0.002992471,2.52417E-05,24644.58129,36
PgB01_g037,11,0.002913726,2.12053E-05,5416.083054,11
PgB01_g060,49,4.63398E-05,2.52845E-05,23876.74759,49
PgB01_g068,117,1.67477E-05,2.5328E-05,44069.9733,117
PgB01_g084,66,0.099650948,2.18117E-05,2140.392017,66
PgB01_g086,55,1.84431E-05,2.56568E-05,35977.3431,55
PgB01_g087,3,1.36568E-07,1.86137E-05,12622.79761,3
PgB01_g051,28,0.010344914,2.29911E-05,29106.26465,28
PgB01_g025,179,0.401637078,2.33984E-05,19438.0858,179
PgB01_g109,102,7.82963E-05,2.64173E-05,68607.70705,102
PgB01_g119,320,0.802867712,2.24729E-05,2905.32468,320
PgB01_g031,311,0.655493912,2.36245E-05,40465.27096,311
PgB01_g121,364,0.867589349,2.38271E-05,33540.70046,364
PgB01_g117,30,0.001084371,2.48194E-05,28136.7561,30
PgB01_g128,42,1.33008E-05,2.40772E-05,19919.14547,42
PgB01_g029,84,9.37225E-06,2.48595E-05,26400.52716,84
PgB01_g135,20,6.36003E-06,2.26234E-05,4615.706563,20
PgB01_g124,38,2.50411E-05,2.51661E-05,26685.83616,38
PgB01_g161,29,0.001070586,2.42612E-05,30615.14805,29
PgB01_g162,127,6.98629E-05,2.60994E-05,45863.93536,127
PgB01_g058,32,0.000131814,2.50809E-05,41074.09124,32
PgB01_g174,28,0.014465717,2.31906E-05,8864.289521,28
PgB01_g175,22,4.59514E-06,2.25994E-05,7339.805849,22
PgB01_g032,20,0.000305884,2.36782E-05,8393.226913,20
PgB01_g096,73,0.02407742,2.56266E-05,40353.4392,73
PgB01_g189,12,4.82217E-07,2.19279E-05,13555.07781,12
PgB01_g137,29,1.04136E-06,2.31273E-05,12246.00645,29
PgB01_g191,9,0.000467305,2.25673E-05,20688.45563,9
PgB01_g192,30,1.50675E-05,2.4493E-05,11178.75805,30
PgB01_g193,37,2.61802E-05,2.48552E-05,12044.69049,37
PgB01_g197,11,6.64201E-06,2.29626E-05,3548.227913,11
PgB01_g199,10,3.77387E-07,2.09701E-05,68216.34365,10
PgB01_g207,29,0.000246292,2.47856E-05,22041.95943,29
PgB01_g210,56,1.01453E-05,2.48886E-05,25478.63438,56
PgB01_g215,218,0.554819923,2.29906E-05,2503.737117,218
PgB01_g223,45,8.03791E-06,2.35782E-05,43564.60331,45
PgB01_g225,122,1.02181E-05,2.53165E-05,29601.26859,122
PgB01_g179,12,1.93341E-06,2.27687E-05,6611.519707,12
PgB01_g233,74,8.65665E-05,2.61397E-05,51540.45628,74
PgB01_g236,332,0.654591967,2.36485E-05,12068.68213,332
PgB01_g198,73,0.162353969,2.25586E-05,3905.908665,73
PgB01_g237,20,2.47891E-05,2.34698E-05,16222.27536,20
PgB01_g242,62,6.7085E-05,2.62426E-05,41054.12266,62
PgB01_g245,23,0.003853671,2.43552E-05,27263.80674,23
PgB01_g246,147,0.332717737,2.28071E-05,2736.313991,147
PgB01_g078,39,3.97184E-05,2.5243E-05,45647.95779,39
