Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB01_g001,283.93,0.73,0.26,2.85,0.00,0.03
PgB01_g003,721.17,-0.13,0.38,-0.35,0.73,0.86
PgB01_g004,497.55,0.41,0.32,1.30,0.19,0.40
PgB01_g005,285.30,0.35,0.37,0.94,0.35,0.57
PgB01_g006,1052.82,0.70,0.29,2.40,0.02,0.08
PgB01_g007,53.95,-0.75,0.68,-1.10,0.27,0.49
PgB01_g008,744.28,-0.09,0.24,-0.36,0.72,0.85
PgB01_g009,85.27,0.30,0.53,0.57,0.57,0.75
PgB01_g010,239.50,0.07,0.25,0.28,0.78,0.89
PgB01_g011,703.33,0.50,0.21,2.42,0.02,0.08
PgB01_g012,261.70,5.09,0.87,5.84,0.00,0.00
PgB01_g013,22913.68,-1.02,0.27,-3.80,0.00,0.00
PgB01_g014,346.11,0.07,0.25,0.28,0.78,0.88
PgB01_g015,3160.85,-0.51,0.29,-1.73,0.08,0.24
PgB01_g016,27.82,1.23,0.66,1.87,0.06,0.20
PgB01_g018,2411.22,-0.42,0.50,-0.84,0.40,0.62
PgB01_g019,330.00,-0.22,0.85,-0.26,0.79,0.90
PgB01_g020,48.31,6.20,1.14,5.42,0.00,0.00
PgB01_g021,5.07,2.21,1.28,1.73,0.08,0.24
PgB01_g024,74.01,2.43,1.10,2.21,0.03,0.12
PgB01_g025,8.65,5.15,1.56,3.30,0.00,0.01
PgB01_g026,176.15,-1.09,0.65,-1.68,0.09,0.26
PgB01_g027,3557.85,-0.93,0.29,-3.25,0.00,0.01
PgB01_g028,477.59,-0.28,0.26,-1.08,0.28,0.50
PgB01_g029,26514.44,-0.57,0.30,-1.92,0.06,0.19
PgB01_g030,1195.07,-0.19,0.24,-0.78,0.43,0.65
PgB01_g031,57.46,4.05,0.82,4.95,0.00,0.00
PgB01_g032,179.95,0.17,0.34,0.51,0.61,0.78
PgB01_g033,257.56,0.45,0.23,2.00,0.05,0.16
PgB01_g035,31.55,0.40,0.43,0.93,0.35,0.57
PgB01_g036,105.40,0.16,0.34,0.46,0.64,0.80
PgB01_g037,15.01,1.74,1.20,1.46,0.14,0.34
PgB01_g038,93.95,1.29,0.45,2.87,0.00,0.03
PgB01_g039,7598.03,-0.46,0.30,-1.54,0.12,0.31
PgB01_g040,135.64,2.15,0.60,3.59,0.00,0.00
PgB01_g041,1493.85,0.30,0.14,2.14,0.03,0.13
PgB01_g042,578.63,-0.47,0.32,-1.48,0.14,0.33
PgB01_g043,228.92,0.29,0.24,1.23,0.22,0.44
PgB01_g044,71.75,-2.66,1.08,-2.47,0.01,0.07
PgB01_g045,23.54,1.29,1.00,1.29,0.20,0.41
PgB01_g046,144.28,1.19,1.05,1.14,0.25,0.47
PgB01_g047,173.95,0.36,0.31,1.16,0.24,0.46
PgB01_g048,270.98,0.87,0.24,3.64,0.00,0.00
PgB01_g049,902.87,0.65,0.32,2.01,0.04,0.16
PgB01_g050,643.49,0.62,0.25,2.46,0.01,0.07
PgB01_g051,53.69,1.17,0.89,1.31,0.19,0.40
PgB01_g052,366.84,-0.63,0.50,-1.24,0.21,0.43
PgB01_g053,675.32,-0.10,0.27,-0.38,0.70,0.84
PgB01_g054,312.64,1.02,0.26,3.87,0.00,0.00
PgB01_g055,4114.62,-0.40,0.25,-1.63,0.10,0.28
PgB01_g056,6379.60,0.07,0.30,0.25,0.81,0.90
PgB01_g057,218.55,1.71,0.41,4.14,0.00,0.00
PgB01_g058,735.70,0.25,0.67,0.38,0.71,0.84
PgB01_g059,257.27,-0.05,0.43,-0.11,0.91,0.96
PgB01_g060,1365.60,0.31,0.29,1.06,0.29,0.51
PgB01_g061,356.32,-0.32,0.47,-0.68,0.49,0.70
PgB01_g062,5.09,-2.66,1.71,-1.55,0.12,0.30
PgB01_g063,825.47,-0.65,0.34,-1.90,0.06,0.19
PgB01_g064,23678.13,-0.91,0.36,-2.51,0.01,0.07
PgB01_g066,160.79,0.78,0.37,2.10,0.04,0.14
PgB01_g067,260.47,-0.24,0.27,-0.90,0.37,0.59
PgB01_g068,15320.34,-0.45,0.30,-1.51,0.13,0.32
PgR001X_g223,62938.98,1.79,0.89,2.02,#N/A,#N/A
PgB01_g072,554.90,-0.64,0.44,-1.46,0.14,0.34
PgB01_g074,20.83,0.83,0.61,1.35,0.18,0.38
PgB01_g075,838.14,0.31,0.33,0.94,0.35,0.57
PgB01_g076,128.67,0.44,0.34,1.30,0.19,0.40
PgB01_g077,851.76,0.59,0.35,1.67,0.09,0.26
PgB01_g078,903.40,0.15,0.20,0.73,0.47,0.67
PgB01_g079,939.44,0.22,0.25,0.87,0.38,0.60
PgB01_g081,944.11,0.39,0.30,1.29,0.20,0.41
PgB01_g082,621.28,0.38,0.32,1.21,0.23,0.44
PgB01_g083,1463.16,-0.71,0.31,-2.28,0.02,0.10
PgB01_g084,24.40,8.16,1.22,6.67,0.00,0.00
